,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,59.0
2021-01-05,61.0
2021-01-06,61.0
2021-01-07,58.5
2021-01-08,59.5
2021-01-09,59.5
2021-01-10,59.5
2021-01-11,58.5
2021-01-12,58.0
2021-01-13,58.5
2021-01-14,58.5
2021-01-15,58.5
2021-01-16,58.5
2021-01-17,58.5
2021-01-18,61.0
2021-01-19,58.5
2021-01-20,58.5
2021-01-21,57.5
2021-01-22,57.5
2021-01-23,57.5
2021-01-24,57.5
2021-01-25,59.5
2021-01-26,60.0
2021-01-27,57.5
2021-01-28,58.0
2021-01-29,60.0
2021-01-30,60.0
2021-01-31,60.0
2021-02-01,59.5
2021-02-02,59.5
2021-02-03,59.5
2021-02-04,59.5
2021-02-05,59.5
2021-02-06,59.5
2021-02-07,59.5
2021-02-08,56.0
2021-02-09,57.5
2021-02-10,55.5
2021-02-11,56.0
2021-02-12,56.5
2021-02-13,56.5
2021-02-14,56.5
2021-02-15,57.5
2021-02-16,57.5
2021-02-17,58.0
2021-02-18,58.0
2021-02-19,56.5
2021-02-20,56.5
2021-02-21,56.5
2021-02-22,56.5
2021-02-23,54.5
2021-02-24,57.0
2021-02-25,58.0
2021-02-26,60.0
2021-02-27,60.0
2021-02-28,60.0
2021-03-01,59.0
2021-03-02,59.0
2021-03-03,61.0
2021-03-04,59.5
2021-03-05,61.5
2021-03-06,61.5
2021-03-07,61.5
2021-03-08,60.0
2021-03-09,60.0
2021-03-10,62.5
2021-03-11,63.5
2021-03-12,63.0
2021-03-13,63.0
2021-03-14,63.0
2021-03-15,63.0
2021-03-16,64.0
2021-03-17,62.5
2021-03-18,62.5
2021-03-19,61.5
2021-03-20,61.5
2021-03-21,61.5
2021-03-22,60.0
2021-03-23,63.0
2021-03-24,65.0
2021-03-25,65.0
2021-03-26,65.0
2021-03-27,65.0
2021-03-28,65.0
2021-03-29,65.0
2021-03-30,65.0
2021-03-31,65.0
2021-04-01,65.0
2021-04-02,65.0
2021-04-03,65.0
2021-04-04,65.0
2021-04-05,65.0
2021-04-06,66.5
2021-04-07,66.5
2021-04-08,64.5
2021-04-09,65.0
2021-04-10,65.0
2021-04-11,65.0
2021-04-12,66.0
2021-04-13,64.5
2021-04-14,63.0
2021-04-15,64.5
2021-04-16,64.5
2021-04-17,64.5
2021-04-18,64.5
2021-04-19,64.5
2021-04-20,65.5
2021-04-21,64.0
2021-04-22,64.0
2021-04-23,63.5
2021-04-24,63.5
2021-04-25,63.5
2021-04-26,63.5
2021-04-27,62.0
2021-04-28,62.0
2021-04-29,61.5
2021-04-30,61.5
2021-05-01,61.5
2021-05-02,61.5
2021-05-03,61.5
