,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,16.600000381469727
2021-01-05,17.100000381469727
2021-01-06,17.100000381469727
2021-01-07,17.100000381469727
2021-01-08,17.100000381469727
2021-01-09,17.100000381469727
2021-01-10,17.100000381469727
2021-01-11,17.100000381469727
2021-01-12,17.100000381469727
2021-01-13,17.100000381469727
2021-01-14,17.100000381469727
2021-01-15,17.100000381469727
2021-01-16,17.100000381469727
2021-01-17,17.100000381469727
2021-01-18,17.100000381469727
2021-01-19,17.100000381469727
2021-01-20,17.100000381469727
2021-01-21,17.0
2021-01-22,17.0
2021-01-23,17.0
2021-01-24,17.0
2021-01-25,17.0
2021-01-26,17.0
2021-01-27,16.100000381469727
2021-01-28,16.200000762939453
2021-01-29,16.899999618530273
2021-01-30,16.899999618530273
2021-01-31,16.899999618530273
2021-02-01,16.899999618530273
2021-02-02,16.899999618530273
2021-02-03,16.899999618530273
2021-02-04,16.899999618530273
2021-02-05,16.5
2021-02-06,16.5
2021-02-07,16.5
2021-02-08,16.5
2021-02-09,16.5
2021-02-10,16.5
2021-02-11,16.0
2021-02-12,16.0
2021-02-13,16.0
2021-02-14,16.0
2021-02-15,16.0
2021-02-16,16.0
2021-02-17,16.0
2021-02-18,16.0
2021-02-19,16.5
2021-02-20,16.5
2021-02-21,16.5
2021-02-22,16.5
2021-02-23,16.5
2021-02-24,16.5
2021-02-25,16.0
2021-02-26,16.0
2021-02-27,16.0
2021-02-28,16.0
2021-03-01,15.5
2021-03-02,15.5
2021-03-03,18.0
2021-03-04,18.100000381469727
2021-03-05,18.200000762939453
2021-03-06,18.200000762939453
2021-03-07,18.200000762939453
2021-03-08,19.0
2021-03-09,18.799999237060547
2021-03-10,19.0
2021-03-11,19.0
2021-03-12,19.5
2021-03-13,19.5
2021-03-14,19.5
2021-03-15,20.0
2021-03-16,21.0
2021-03-17,21.0
2021-03-18,21.0
2021-03-19,20.600000381469727
2021-03-20,20.600000381469727
2021-03-21,20.600000381469727
2021-03-22,20.600000381469727
2021-03-23,20.600000381469727
2021-03-24,20.600000381469727
2021-03-25,20.600000381469727
2021-03-26,22.799999237060547
2021-03-27,22.799999237060547
2021-03-28,22.799999237060547
2021-03-29,22.399999618530273
2021-03-30,22.399999618530273
2021-03-31,21.399999618530273
2021-04-01,21.0
2021-04-02,21.0
2021-04-03,21.0
2021-04-04,21.0
2021-04-05,21.0
2021-04-06,21.0
2021-04-07,21.0
2021-04-08,21.0
2021-04-09,21.799999237060547
2021-04-10,21.799999237060547
2021-04-11,21.799999237060547
2021-04-12,22.0
2021-04-13,22.0
2021-04-14,22.799999237060547
2021-04-15,22.799999237060547
2021-04-16,22.200000762939453
2021-04-17,22.200000762939453
2021-04-18,22.200000762939453
2021-04-19,22.200000762939453
2021-04-20,22.0
2021-04-21,22.200000762939453
2021-04-22,22.799999237060547
2021-04-23,23.0
2021-04-24,23.0
2021-04-25,23.0
2021-04-26,23.0
2021-04-27,23.0
2021-04-28,22.799999237060547
2021-04-29,23.0
2021-04-30,23.0
2021-05-01,23.0
2021-05-02,23.0
2021-05-03,23.600000381469727
