,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,83.5
2021-01-05,85.0
2021-01-06,85.0
2021-01-07,84.0
2021-01-08,82.5
2021-01-09,82.5
2021-01-10,82.5
2021-01-11,83.0
2021-01-12,87.0
2021-01-13,87.5
2021-01-14,89.0
2021-01-15,88.0
2021-01-16,88.0
2021-01-17,88.0
2021-01-18,89.5
2021-01-19,90.5
2021-01-20,92.5
2021-01-21,91.5
2021-01-22,92.0
2021-01-23,92.0
2021-01-24,92.0
2021-01-25,91.0
2021-01-26,91.0
2021-01-27,91.5
2021-01-28,91.5
2021-01-29,91.0
2021-01-30,91.0
2021-01-31,91.0
2021-02-01,93.0
2021-02-02,93.0
2021-02-03,93.0
2021-02-04,92.0
2021-02-05,92.0
2021-02-06,92.0
2021-02-07,92.0
2021-02-08,91.5
2021-02-09,91.0
2021-02-10,92.0
2021-02-11,90.5
2021-02-12,91.0
2021-02-13,91.0
2021-02-14,91.0
2021-02-15,91.0
2021-02-16,90.0
2021-02-17,91.0
2021-02-18,88.0
2021-02-19,90.0
2021-02-20,90.0
2021-02-21,90.0
2021-02-22,90.0
2021-02-23,91.5
2021-02-24,91.5
2021-02-25,91.5
2021-02-26,91.5
2021-02-27,91.5
2021-02-28,91.5
2021-03-01,89.0
2021-03-02,91.0
2021-03-03,92.0
2021-03-04,91.5
2021-03-05,91.0
2021-03-06,91.0
2021-03-07,91.0
2021-03-08,90.5
2021-03-09,93.0
2021-03-10,93.0
2021-03-11,92.5
2021-03-12,92.0
2021-03-13,92.0
2021-03-14,92.0
2021-03-15,93.0
2021-03-16,93.0
2021-03-17,91.5
2021-03-18,93.0
2021-03-19,93.0
2021-03-20,93.0
2021-03-21,93.0
2021-03-22,92.5
2021-03-23,92.0
2021-03-24,91.0
2021-03-25,91.5
2021-03-26,92.0
2021-03-27,92.0
2021-03-28,92.0
2021-03-29,92.0
2021-03-30,92.0
2021-03-31,92.0
2021-04-01,91.5
2021-04-02,91.5
2021-04-03,91.5
2021-04-04,91.5
2021-04-05,91.5
2021-04-06,93.0
2021-04-07,93.5
2021-04-08,93.30000305175781
2021-04-09,93.19999694824219
2021-04-10,93.19999694824219
2021-04-11,93.19999694824219
2021-04-12,92.9000015258789
2021-04-13,92.9000015258789
2021-04-14,93.0
2021-04-15,93.5999984741211
2021-04-16,94.0999984741211
2021-04-17,94.0999984741211
2021-04-18,94.0999984741211
2021-04-19,93.80000305175781
2021-04-20,92.0
2021-04-21,93.0
2021-04-22,93.5
2021-04-23,93.0
2021-04-24,93.0
2021-04-25,93.0
2021-04-26,92.0999984741211
2021-04-27,93.5
2021-04-28,95.5
2021-04-29,95.19999694824219
2021-04-30,94.5999984741211
2021-05-01,94.5999984741211
2021-05-02,94.5999984741211
2021-05-03,94.5999984741211
