,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,116.0
2021-01-05,116.0
2021-01-06,120.0
2021-01-07,117.0
2021-01-08,120.0
2021-01-09,120.0
2021-01-10,120.0
2021-01-11,120.0
2021-01-12,120.0
2021-01-13,118.0
2021-01-14,123.0
2021-01-15,119.0
2021-01-16,119.0
2021-01-17,119.0
2021-01-18,123.0
2021-01-19,125.0
2021-01-20,126.0
2021-01-21,123.0
2021-01-22,121.0
2021-01-23,121.0
2021-01-24,121.0
2021-01-25,119.0
2021-01-26,117.0
2021-01-27,117.0
2021-01-28,116.0
2021-01-29,116.0
2021-01-30,116.0
2021-01-31,116.0
2021-02-01,121.0
2021-02-02,115.0
2021-02-03,115.0
2021-02-04,114.0
2021-02-05,118.0
2021-02-06,118.0
2021-02-07,118.0
2021-02-08,118.0
2021-02-09,118.0
2021-02-10,117.0
2021-02-11,117.0
2021-02-12,122.0
2021-02-13,122.0
2021-02-14,122.0
2021-02-15,120.0
2021-02-16,115.0
2021-02-17,118.0
2021-02-18,118.0
2021-02-19,116.0
2021-02-20,116.0
2021-02-21,116.0
2021-02-22,117.0
2021-02-23,118.0
2021-02-24,115.0
2021-02-25,118.0
2021-02-26,115.0
2021-02-27,115.0
2021-02-28,115.0
2021-03-01,115.0
2021-03-02,115.0
2021-03-03,117.0
2021-03-04,115.0
2021-03-05,116.0
2021-03-06,116.0
2021-03-07,116.0
2021-03-08,114.0
2021-03-09,117.0
2021-03-10,117.0
2021-03-11,120.0
2021-03-12,118.0
2021-03-13,118.0
2021-03-14,118.0
2021-03-15,118.0
2021-03-16,121.0
2021-03-17,118.0
2021-03-18,120.0
2021-03-19,118.0
2021-03-20,118.0
2021-03-21,118.0
2021-03-22,118.0
2021-03-23,120.0
2021-03-24,119.0
2021-03-25,120.0
2021-03-26,120.0
2021-03-27,120.0
2021-03-28,120.0
2021-03-29,118.0
2021-03-30,120.0
2021-03-31,118.0
2021-04-01,118.0
2021-04-02,118.0
2021-04-03,118.0
2021-04-04,118.0
2021-04-05,118.0
2021-04-06,118.0
2021-04-07,116.0
2021-04-08,116.0
2021-04-09,118.0
2021-04-10,118.0
2021-04-11,118.0
2021-04-12,118.0
2021-04-13,118.0
2021-04-14,119.0
2021-04-15,118.0
2021-04-16,120.0
2021-04-17,120.0
2021-04-18,120.0
2021-04-19,121.0
2021-04-20,121.0
2021-04-21,122.0
2021-04-22,124.0
2021-04-23,122.0
2021-04-24,122.0
2021-04-25,122.0
2021-04-26,121.0
2021-04-27,121.0
2021-04-28,121.0
2021-04-29,120.0
2021-04-30,120.0
2021-05-01,120.0
2021-05-02,120.0
2021-05-03,123.0
