,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,141.0
2021-01-05,141.0
2021-01-06,141.0
2021-01-07,137.0
2021-01-08,137.0
2021-01-09,137.0
2021-01-10,137.0
2021-01-11,139.0
2021-01-12,139.0
2021-01-13,136.0
2021-01-14,135.0
2021-01-15,132.0
2021-01-16,132.0
2021-01-17,132.0
2021-01-18,132.0
2021-01-19,132.0
2021-01-20,132.0
2021-01-21,137.0
2021-01-22,132.0
2021-01-23,132.0
2021-01-24,132.0
2021-01-25,132.0
2021-01-26,132.0
2021-01-27,132.0
2021-01-28,132.0
2021-01-29,132.0
2021-01-30,132.0
2021-01-31,132.0
2021-02-01,136.0
2021-02-02,136.0
2021-02-03,139.0
2021-02-04,132.0
2021-02-05,133.0
2021-02-06,133.0
2021-02-07,133.0
2021-02-08,134.0
2021-02-09,132.0
2021-02-10,132.0
2021-02-11,132.0
2021-02-12,137.0
2021-02-13,137.0
2021-02-14,137.0
2021-02-15,135.0
2021-02-16,135.0
2021-02-17,135.0
2021-02-18,135.0
2021-02-19,135.0
2021-02-20,135.0
2021-02-21,135.0
2021-02-22,135.0
2021-02-23,135.0
2021-02-24,135.0
2021-02-25,135.0
2021-02-26,135.0
2021-02-27,135.0
2021-02-28,135.0
2021-03-01,134.0
2021-03-02,132.0
2021-03-03,132.0
2021-03-04,132.0
2021-03-05,132.0
2021-03-06,132.0
2021-03-07,132.0
2021-03-08,136.0
2021-03-09,136.0
2021-03-10,136.0
2021-03-11,136.0
2021-03-12,136.0
2021-03-13,136.0
2021-03-14,136.0
2021-03-15,132.0
2021-03-16,132.0
2021-03-17,132.0
2021-03-18,132.0
2021-03-19,132.0
2021-03-20,132.0
2021-03-21,132.0
2021-03-22,138.0
2021-03-23,138.0
2021-03-24,138.0
2021-03-25,138.0
2021-03-26,135.0
2021-03-27,135.0
2021-03-28,135.0
2021-03-29,132.0
2021-03-30,132.0
2021-03-31,134.0
2021-04-01,134.0
2021-04-02,134.0
2021-04-03,134.0
2021-04-04,134.0
2021-04-05,134.0
2021-04-06,134.0
2021-04-07,134.0
2021-04-08,134.0
2021-04-09,134.0
2021-04-10,134.0
2021-04-11,134.0
2021-04-12,134.0
2021-04-13,134.0
2021-04-14,134.0
2021-04-15,134.0
2021-04-16,134.0
2021-04-17,134.0
2021-04-18,134.0
2021-04-19,134.0
2021-04-20,134.0
2021-04-21,134.0
2021-04-22,131.0
2021-04-23,129.0
2021-04-24,129.0
2021-04-25,129.0
2021-04-26,136.0
2021-04-27,136.0
2021-04-28,135.0
2021-04-29,135.0
2021-04-30,135.0
2021-05-01,135.0
2021-05-02,135.0
2021-05-03,135.0
